date_key,date,year,month_no,month_name,week_no,day_name,day_of_week,is_weekend
20180608,2018-06-08,2018,6,Jun 2018,23,Friday,5,Weekday
20180609,2018-06-09,2018,6,Jun 2018,23,Saturday,6,Weekend
20180610,2018-06-10,2018,6,Jun 2018,23,Sunday,7,Weekend
20180611,2018-06-11,2018,6,Jun 2018,24,Monday,1,Weekday
20180612,2018-06-12,2018,6,Jun 2018,24,Tuesday,2,Weekday
20180613,2018-06-13,2018,6,Jun 2018,24,Wednesday,3,Weekday
20180614,2018-06-14,2018,6,Jun 2018,24,Thursday,4,Weekday
20180615,2018-06-15,2018,6,Jun 2018,24,Friday,5,Weekday
20180616,2018-06-16,2018,6,Jun 2018,24,Saturday,6,Weekend
20180617,2018-06-17,2018,6,Jun 2018,24,Sunday,7,Weekend
20180618,2018-06-18,2018,6,Jun 2018,25,Monday,1,Weekday
20180619,2018-06-19,2018,6,Jun 2018,25,Tuesday,2,Weekday
20180620,2018-06-20,2018,6,Jun 2018,25,Wednesday,3,Weekday
20180621,2018-06-21,2018,6,Jun 2018,25,Thursday,4,Weekday
20180622,2018-06-22,2018,6,Jun 2018,25,Friday,5,Weekday
20180623,2018-06-23,2018,6,Jun 2018,25,Saturday,6,Weekend
20180624,2018-06-24,2018,6,Jun 2018,25,Sunday,7,Weekend
20180625,2018-06-25,2018,6,Jun 2018,26,Monday,1,Weekday
20180626,2018-06-26,2018,6,Jun 2018,26,Tuesday,2,Weekday
20180627,2018-06-27,2018,6,Jun 2018,26,Wednesday,3,Weekday
20180628,2018-06-28,2018,6,Jun 2018,26,Thursday,4,Weekday
20180629,2018-06-29,2018,6,Jun 2018,26,Friday,5,Weekday
20180630,2018-06-30,2018,6,Jun 2018,26,Saturday,6,Weekend
20180701,2018-07-01,2018,7,Jul 2018,26,Sunday,7,Weekend
