terminal_id,total_txns,fraud_txns,fraud_rate_pct,fraud_volume,unique_customers,risk_tier
2007,86,18,20.93,1443.9,30,1 - Critical
3413,97,27,27.835,1441.46,31,1 - Critical
9273,95,19,20.0,1438.89,34,1 - Critical
7988,110,27,24.545,1436.94,35,1 - Critical
6555,98,32,32.653,1415.6,31,1 - Critical
5256,101,22,21.782,1396.48,35,1 - Critical
4865,110,14,12.727,1395.76,40,1 - Critical
8960,82,24,29.268,1395.29,29,1 - Critical
5431,94,26,27.66,1393.89,28,1 - Critical
7619,78,20,25.641,1388.77,27,1 - Critical
697,76,24,31.579,1387.18,30,1 - Critical
5952,77,27,35.065,1369.87,28,1 - Critical
8695,86,24,27.907,1360.03,31,1 - Critical
3308,121,3,2.479,1358.39,33,2 - High
9957,88,29,32.955,1353.74,33,1 - Critical
8800,61,17,27.869,1345.37,25,1 - Critical
553,120,3,2.5,1344.84,36,2 - High
440,80,28,35.0,1338.92,32,1 - Critical
8002,101,21,20.792,1329.58,27,1 - Critical
3555,106,30,28.302,1327.79,35,1 - Critical
7926,82,25,30.488,1322.41,28,1 - Critical
3779,83,3,3.614,1318.45,34,2 - High
8307,96,26,27.083,1313.31,30,1 - Critical
9207,127,25,19.685,1311.02,32,1 - Critical
9229,81,23,28.395,1303.1,28,1 - Critical
530,75,23,30.667,1292.56,31,1 - Critical
5823,104,2,1.923,1291.1,31,3 - Watch
2197,106,27,25.472,1288.62,29,1 - Critical
3445,94,3,3.191,1288.2,24,2 - High
5491,114,27,23.684,1287.93,41,1 - Critical
5890,80,4,5.0,1278.08,25,1 - Critical
3224,70,23,32.857,1277.35,20,1 - Critical
1828,117,31,26.496,1276.49,37,1 - Critical
6303,104,2,1.923,1266.1,34,3 - Watch
7549,73,2,2.74,1265.65,20,2 - High
2674,115,2,1.739,1263.4,40,3 - Watch
8884,66,21,31.818,1263.2,24,1 - Critical
4938,82,23,28.049,1257.97,31,1 - Critical
9822,126,2,1.587,1250.25,31,3 - Watch
7432,83,23,27.711,1250.04,27,1 - Critical
2593,90,3,3.333,1248.5,33,2 - High
7507,86,27,31.395,1247.77,27,1 - Critical
8309,117,2,1.709,1234.4,34,3 - Watch
6563,73,3,4.11,1231.56,28,2 - High
1909,73,23,31.507,1224.16,31,1 - Critical
686,83,3,3.614,1221.0,24,2 - High
5821,69,21,30.435,1208.65,32,1 - Critical
1122,79,31,39.241,1206.38,28,1 - Critical
894,82,3,3.659,1194.3,27,2 - High
4292,109,3,2.752,1191.17,36,2 - High
5876,54,15,27.778,1181.13,26,1 - Critical
898,81,25,30.864,1175.41,32,1 - Critical
9988,88,3,3.409,1159.45,29,2 - High
5438,82,25,30.488,1157.79,26,1 - Critical
4259,76,18,23.684,1151.25,30,1 - Critical
2077,82,23,28.049,1149.69,27,1 - Critical
4961,122,3,2.459,1143.2,40,2 - High
2571,115,2,1.739,1131.0,36,3 - Watch
1003,82,24,29.268,1125.0,26,1 - Critical
5926,98,2,2.041,1119.15,34,2 - High
4744,95,2,2.105,1113.1,29,2 - High
1604,160,3,1.875,1103.14,45,3 - Watch
8793,106,26,24.528,1099.49,37,1 - Critical
2580,64,22,34.375,1079.25,23,1 - Critical
5689,115,18,15.652,1076.87,35,1 - Critical
5669,77,23,29.87,1073.51,32,1 - Critical
4401,160,4,2.5,1067.16,44,2 - High
921,75,1,1.333,1066.8,24,3 - Watch
4308,89,3,3.371,1060.85,28,2 - High
5571,99,2,2.02,1054.85,34,2 - High
6353,95,25,26.316,1048.49,29,1 - Critical
757,72,23,31.944,1044.04,29,1 - Critical
9268,49,16,32.653,1043.84,26,1 - Critical
5005,71,1,1.408,1039.3,25,3 - Watch
4078,86,21,24.419,1030.29,29,1 - Critical
1656,54,21,38.889,1027.43,22,1 - Critical
1336,96,2,2.083,1025.85,35,2 - High
8750,136,3,2.206,1024.17,38,2 - High
3433,119,11,9.244,1023.35,46,1 - Critical
2882,117,3,2.564,1019.7,37,2 - High
9496,67,2,2.985,1008.85,27,2 - High
1261,93,2,2.151,1005.2,26,2 - High
9135,113,2,1.77,1002.75,31,3 - Watch
1770,111,2,1.802,1000.45,34,3 - Watch
5469,70,13,18.571,1000.13,23,1 - Critical
2069,126,3,2.381,996.55,37,2 - High
7228,89,3,3.371,996.2,28,2 - High
6100,120,3,2.5,994.65,42,2 - High
1802,74,3,4.054,990.3,32,2 - High
5652,79,19,24.051,987.44,27,1 - Critical
799,63,20,31.746,983.89,27,1 - Critical
4038,129,2,1.55,979.4,37,3 - Watch
2951,92,3,3.261,968.75,34,2 - High
837,58,14,24.138,967.3,22,1 - Critical
1569,78,15,19.231,965.35,21,1 - Critical
3665,108,2,1.852,960.4,40,3 - Watch
8227,103,2,1.942,948.8,29,3 - Watch
3037,120,3,2.5,948.56,36,2 - High
6386,113,1,0.885,947.4,43,3 - Watch
679,72,16,22.222,944.29,26,1 - Critical
1118,85,1,1.176,943.7,26,3 - Watch
5000,120,2,1.667,942.9,37,3 - Watch
3655,101,2,1.98,934.65,33,3 - Watch
1246,117,2,1.709,934.6,41,3 - Watch
8510,66,2,3.03,929.55,26,2 - High
3737,119,2,1.681,923.15,42,3 - Watch
3790,84,2,2.381,922.1,28,2 - High
2390,50,13,26.0,920.93,22,1 - Critical
1981,57,4,7.018,920.16,14,1 - Critical
4244,76,3,3.947,917.94,30,2 - High
7478,91,2,2.198,915.85,29,2 - High
3346,73,21,28.767,905.62,29,1 - Critical
9390,107,1,0.935,901.8,31,3 - Watch
2033,94,1,1.064,900.05,28,3 - Watch
9456,94,3,3.191,898.45,28,2 - High
1229,72,18,25.0,897.93,22,1 - Critical
6171,105,14,13.333,896.92,32,1 - Critical
2668,85,1,1.176,893.65,34,3 - Watch
5397,60,2,3.333,892.5,24,2 - High
2727,103,3,2.913,885.65,34,2 - High
6230,114,2,1.754,883.9,30,3 - Watch
233,49,18,36.735,883.35,17,1 - Critical
4426,80,21,26.25,880.1,28,1 - Critical
9388,81,2,2.469,879.4,31,2 - High
2718,73,2,2.74,877.12,25,2 - High
4189,89,18,20.225,876.63,31,1 - Critical
596,90,22,24.444,874.37,29,1 - Critical
6291,80,3,3.75,868.21,29,2 - High
3683,68,2,2.941,852.15,25,2 - High
9179,93,1,1.075,851.95,31,3 - Watch
8953,116,2,1.724,851.73,37,3 - Watch
810,79,1,1.266,850.95,30,3 - Watch
442,80,19,23.75,849.72,28,1 - Critical
3478,111,2,1.802,848.85,28,3 - Watch
4209,123,3,2.439,848.05,40,2 - High
4592,110,2,1.818,847.95,31,3 - Watch
3637,117,19,16.239,846.76,32,1 - Critical
6803,82,22,26.829,845.48,19,1 - Critical
7342,104,2,1.923,839.19,33,3 - Watch
312,70,18,25.714,839.0,24,1 - Critical
8568,122,3,2.459,837.85,33,2 - High
7908,121,2,1.653,832.2,45,3 - Watch
5603,71,1,1.408,831.0,31,3 - Watch
1726,58,1,1.724,825.85,30,3 - Watch
3781,120,16,13.333,825.74,37,1 - Critical
6264,59,1,1.695,824.5,13,3 - Watch
9760,87,2,2.299,821.9,26,2 - High
5249,100,1,1.0,818.4,30,3 - Watch
7289,110,2,1.818,817.55,37,3 - Watch
8145,50,13,26.0,812.17,14,1 - Critical
8215,126,2,1.587,812.15,41,3 - Watch
2483,95,2,2.105,810.93,31,2 - High
8465,89,2,2.247,806.35,34,2 - High
3619,104,17,16.346,805.65,34,1 - Critical
7170,122,2,1.639,801.65,39,3 - Watch
4774,59,18,30.508,800.11,15,1 - Critical
5119,91,1,1.099,800.1,30,3 - Watch
4438,121,2,1.653,800.0,42,3 - Watch
1083,88,14,15.909,799.43,30,1 - Critical
8685,90,2,2.222,796.87,25,2 - High
261,82,16,19.512,791.54,28,1 - Critical
7217,100,2,2.0,791.11,30,2 - High
6890,44,1,2.273,789.45,18,2 - High
9721,71,1,1.408,781.55,18,3 - Watch
904,118,1,0.847,778.75,38,3 - Watch
1902,111,3,2.703,774.9,45,2 - High
1104,90,1,1.111,774.6,32,3 - Watch
4422,111,2,1.802,772.05,38,3 - Watch
7476,54,15,27.778,772.0,22,1 - Critical
3950,117,2,1.709,771.7,35,3 - Watch
949,111,2,1.802,770.25,32,3 - Watch
5097,56,15,26.786,770.23,22,1 - Critical
3956,104,2,1.923,768.45,39,3 - Watch
3994,70,1,1.429,765.7,26,3 - Watch
7661,96,2,2.083,763.55,30,2 - High
1862,111,1,0.901,761.8,41,3 - Watch
6547,83,2,2.41,761.55,27,2 - High
8349,110,2,1.818,761.08,37,3 - Watch
1495,82,19,23.171,757.62,22,1 - Critical
8604,83,2,2.41,756.52,31,2 - High
2168,113,2,1.77,755.0,44,3 - Watch
7283,133,1,0.752,754.8,36,3 - Watch
8943,68,1,1.471,753.7,26,3 - Watch
7344,95,1,1.053,753.5,28,3 - Watch
6326,59,13,22.034,752.77,23,1 - Critical
9324,82,1,1.22,748.85,25,3 - Watch
1522,92,1,1.087,748.5,31,3 - Watch
5226,108,2,1.852,748.45,26,3 - Watch
2781,130,1,0.769,746.5,32,3 - Watch
9847,62,1,1.613,744.85,26,3 - Watch
6934,88,1,1.136,744.55,30,3 - Watch
1354,89,1,1.124,742.25,29,3 - Watch
858,91,2,2.198,740.7,29,2 - High
6273,104,2,1.923,739.25,39,3 - Watch
446,76,1,1.316,738.0,27,3 - Watch
2091,99,1,1.01,736.9,33,3 - Watch
1376,51,18,35.294,735.81,22,1 - Critical
7440,99,3,3.03,735.19,29,2 - High
7900,106,2,1.887,734.83,25,3 - Watch
9118,81,2,2.469,734.55,24,2 - High
4273,99,1,1.01,734.2,33,3 - Watch
9346,51,1,1.961,733.8,22,3 - Watch
3428,83,2,2.41,732.15,27,2 - High
1126,78,2,2.564,728.9,28,2 - High
6365,109,1,0.917,727.5,36,3 - Watch
844,65,1,1.538,726.65,22,3 - Watch
824,75,2,2.667,725.35,24,2 - High
2720,86,2,2.326,723.4,22,2 - High
6146,108,1,0.926,723.2,29,3 - Watch
5172,69,1,1.449,723.15,22,3 - Watch
4831,103,1,0.971,722.45,25,3 - Watch
5912,72,20,27.778,717.67,30,1 - Critical
3533,96,2,2.083,716.7,28,2 - High
8747,66,12,18.182,716.61,22,1 - Critical
3055,108,1,0.926,716.5,39,3 - Watch
796,122,7,5.738,715.28,40,1 - Critical
1074,85,2,2.353,714.75,32,2 - High
5177,87,1,1.149,712.95,30,3 - Watch
9095,70,2,2.857,712.7,25,2 - High
5782,86,2,2.326,711.55,29,2 - High
4415,85,1,1.176,711.4,33,3 - Watch
2451,51,1,1.961,709.55,28,3 - Watch
3398,88,1,1.136,708.2,33,3 - Watch
4552,123,2,1.626,706.8,33,3 - Watch
