terminal_id,total_txns,total_volume,avg_txn_amount,unique_customers,fraud_txns,fraud_volume,fraud_rate_pct,risk_tier
30,100,5176.57,51.77,30,0,0.0,0.0,4 - Clean
31,103,5539.76,53.78,31,0,0.0,0.0,4 - Clean
32,68,3342.82,49.16,30,0,0.0,0.0,4 - Clean
33,100,4843.09,48.43,32,0,0.0,0.0,4 - Clean
34,88,3659.43,41.58,27,0,0.0,0.0,4 - Clean
35,86,3978.39,46.26,28,0,0.0,0.0,4 - Clean
36,99,5291.0,53.44,34,0,0.0,0.0,4 - Clean
37,91,5664.39,62.25,32,1,242.57,1.099,3 - Watch
38,64,3582.09,55.97,26,0,0.0,0.0,4 - Clean
39,62,2648.8,42.72,27,14,544.79,22.581,1 - Critical
40,98,6311.18,64.4,39,0,0.0,0.0,4 - Clean
41,112,6241.82,55.73,38,0,0.0,0.0,4 - Clean
42,90,4295.83,47.73,29,0,0.0,0.0,4 - Clean
43,98,5538.86,56.52,26,0,0.0,0.0,4 - Clean
44,74,4236.61,57.25,28,1,342.0,1.351,3 - Watch
45,73,3658.51,50.12,25,0,0.0,0.0,4 - Clean
46,103,5000.24,48.55,34,0,0.0,0.0,4 - Clean
47,98,5689.76,58.06,33,1,268.85,1.02,3 - Watch
48,143,7359.55,51.47,39,0,0.0,0.0,4 - Clean
49,72,4117.14,57.18,17,0,0.0,0.0,4 - Clean
50,82,4428.21,54.0,28,1,65.75,1.22,3 - Watch
51,81,5167.33,63.79,26,1,99.8,1.235,3 - Watch
52,112,6098.33,54.45,35,0,0.0,0.0,4 - Clean
53,98,4961.07,50.62,22,0,0.0,0.0,4 - Clean
54,94,5543.79,58.98,27,0,0.0,0.0,4 - Clean
55,92,5271.59,57.3,36,0,0.0,0.0,4 - Clean
56,129,5994.13,46.47,34,0,0.0,0.0,4 - Clean
57,83,4492.28,54.12,30,0,0.0,0.0,4 - Clean
58,70,3643.99,52.06,29,0,0.0,0.0,4 - Clean
59,65,3540.06,54.46,22,0,0.0,0.0,4 - Clean
60,86,3931.53,45.72,18,0,0.0,0.0,4 - Clean
61,87,5460.53,62.76,26,0,0.0,0.0,4 - Clean
62,89,4862.43,54.63,34,0,0.0,0.0,4 - Clean
63,72,4388.34,60.95,20,0,0.0,0.0,4 - Clean
64,97,4605.81,47.48,34,0,0.0,0.0,4 - Clean
65,102,4555.34,44.66,33,0,0.0,0.0,4 - Clean
66,73,4534.86,62.12,27,0,0.0,0.0,4 - Clean
67,71,3221.08,45.37,26,0,0.0,0.0,4 - Clean
68,110,5745.68,52.23,36,0,0.0,0.0,4 - Clean
69,110,6388.74,58.08,31,0,0.0,0.0,4 - Clean
70,119,7660.99,64.38,41,1,116.0,0.84,3 - Watch
71,84,4120.99,49.06,30,0,0.0,0.0,4 - Clean
72,113,7145.58,63.24,33,0,0.0,0.0,4 - Clean
73,65,3452.73,53.12,23,0,0.0,0.0,4 - Clean
74,75,4547.57,60.63,24,0,0.0,0.0,4 - Clean
75,88,5213.07,59.24,24,1,375.6,1.136,3 - Watch
76,91,5066.12,55.67,31,0,0.0,0.0,4 - Clean
77,84,4307.55,51.28,28,0,0.0,0.0,4 - Clean
78,81,4148.17,51.21,35,0,0.0,0.0,4 - Clean
79,98,5937.25,60.58,27,0,0.0,0.0,4 - Clean
80,83,5202.38,62.68,33,0,0.0,0.0,4 - Clean
81,78,5694.27,73.0,27,0,0.0,0.0,4 - Clean
82,111,7025.6,63.29,29,1,71.8,0.901,3 - Watch
83,95,5197.13,54.71,33,0,0.0,0.0,4 - Clean
84,61,3208.74,52.6,24,0,0.0,0.0,4 - Clean
85,66,3471.32,52.6,20,0,0.0,0.0,4 - Clean
86,92,4338.14,47.15,29,0,0.0,0.0,4 - Clean
87,86,4444.53,51.68,28,0,0.0,0.0,4 - Clean
88,72,3960.98,55.01,31,0,0.0,0.0,4 - Clean
89,103,6071.32,58.94,33,0,0.0,0.0,4 - Clean
90,77,3690.59,47.93,27,0,0.0,0.0,4 - Clean
91,114,6525.74,57.24,39,0,0.0,0.0,4 - Clean
92,74,3538.15,47.81,28,0,0.0,0.0,4 - Clean
93,91,5276.3,57.98,35,0,0.0,0.0,4 - Clean
94,95,5095.52,53.64,34,0,0.0,0.0,4 - Clean
95,71,3736.65,52.63,28,0,0.0,0.0,4 - Clean
96,83,3319.47,39.99,30,0,0.0,0.0,4 - Clean
97,116,6304.33,54.35,38,1,479.9,0.862,3 - Watch
98,86,5606.32,65.19,20,0,0.0,0.0,4 - Clean
99,143,8128.22,56.84,45,0,0.0,0.0,4 - Clean
100,95,4089.06,43.04,34,0,0.0,0.0,4 - Clean
101,79,3927.82,49.72,31,0,0.0,0.0,4 - Clean
102,60,3209.07,53.48,24,1,252.6,1.667,3 - Watch
103,97,4085.18,42.12,31,0,0.0,0.0,4 - Clean
104,129,7210.11,55.89,41,0,0.0,0.0,4 - Clean
105,85,3749.97,44.12,25,0,0.0,0.0,4 - Clean
106,111,5985.17,53.92,33,0,0.0,0.0,4 - Clean
107,124,5927.47,47.8,38,1,358.9,0.806,3 - Watch
108,111,5269.84,47.48,24,1,195.45,0.901,3 - Watch
109,62,3218.14,51.91,20,0,0.0,0.0,4 - Clean
110,72,2833.77,39.36,25,0,0.0,0.0,4 - Clean
111,131,7128.02,54.41,35,0,0.0,0.0,4 - Clean
112,101,5896.85,58.38,35,1,475.8,0.99,3 - Watch
113,101,5325.35,52.73,32,0,0.0,0.0,4 - Clean
114,78,3807.25,48.81,29,0,0.0,0.0,4 - Clean
115,104,6654.68,63.99,41,0,0.0,0.0,4 - Clean
116,74,4413.7,59.64,26,0,0.0,0.0,4 - Clean
117,89,4674.64,52.52,28,0,0.0,0.0,4 - Clean
118,80,3331.11,41.64,20,0,0.0,0.0,4 - Clean
119,88,4930.08,56.02,36,0,0.0,0.0,4 - Clean
120,84,4870.8,57.99,31,0,0.0,0.0,4 - Clean
121,115,6249.17,54.34,37,0,0.0,0.0,4 - Clean
122,73,3492.38,47.84,27,0,0.0,0.0,4 - Clean
123,150,7903.69,52.69,41,1,236.06,0.667,3 - Watch
124,71,3562.33,50.17,31,0,0.0,0.0,4 - Clean
125,57,2279.5,39.99,14,0,0.0,0.0,4 - Clean
126,58,3029.23,52.23,19,0,0.0,0.0,4 - Clean
127,52,3661.3,70.41,20,0,0.0,0.0,4 - Clean
128,75,4094.53,54.59,29,0,0.0,0.0,4 - Clean
129,61,2688.84,44.08,27,0,0.0,0.0,4 - Clean
130,77,3081.51,40.02,29,0,0.0,0.0,4 - Clean
131,65,3832.71,58.96,30,0,0.0,0.0,4 - Clean
132,72,4189.24,58.18,27,1,81.5,1.389,3 - Watch
133,90,3920.74,43.56,25,0,0.0,0.0,4 - Clean
134,77,3800.2,49.35,23,2,303.17,2.597,2 - High
135,102,4650.81,45.6,32,0,0.0,0.0,4 - Clean
136,83,4147.2,49.97,28,0,0.0,0.0,4 - Clean
137,102,6400.71,62.75,26,1,229.27,0.98,3 - Watch
138,106,6585.98,62.13,36,1,228.81,0.943,3 - Watch
139,97,3857.62,39.77,32,0,0.0,0.0,4 - Clean
140,120,6211.85,51.77,37,2,700.0,1.667,3 - Watch
141,75,4876.24,65.02,27,0,0.0,0.0,4 - Clean
142,70,5038.79,71.98,30,0,0.0,0.0,4 - Clean
143,81,4980.94,61.49,29,1,341.75,1.235,3 - Watch
144,69,4434.59,64.27,28,0,0.0,0.0,4 - Clean
145,87,5509.89,63.33,28,0,0.0,0.0,4 - Clean
146,66,3017.57,45.72,30,0,0.0,0.0,4 - Clean
147,71,3876.79,54.6,25,0,0.0,0.0,4 - Clean
148,98,4740.96,48.38,33,1,2.5,1.02,3 - Watch
149,63,3308.81,52.52,21,0,0.0,0.0,4 - Clean
150,57,3476.84,61.0,26,1,239.9,1.754,3 - Watch
151,97,5074.74,52.32,35,0,0.0,0.0,4 - Clean
152,118,5705.72,48.35,37,0,0.0,0.0,4 - Clean
153,60,2702.16,45.04,27,0,0.0,0.0,4 - Clean
154,84,3955.14,47.08,32,0,0.0,0.0,4 - Clean
155,101,5662.13,56.06,41,0,0.0,0.0,4 - Clean
156,96,4723.95,49.21,38,0,0.0,0.0,4 - Clean
157,81,3855.2,47.6,29,0,0.0,0.0,4 - Clean
158,50,2100.92,42.02,20,0,0.0,0.0,4 - Clean
159,86,5379.38,62.55,32,0,0.0,0.0,4 - Clean
160,85,5062.14,59.55,34,0,0.0,0.0,4 - Clean
161,72,3379.02,46.93,29,0,0.0,0.0,4 - Clean
162,69,2786.0,40.38,24,0,0.0,0.0,4 - Clean
163,107,5221.39,48.8,35,0,0.0,0.0,4 - Clean
164,83,5148.32,62.03,27,0,0.0,0.0,4 - Clean
165,94,4981.28,52.99,32,0,0.0,0.0,4 - Clean
166,68,3788.9,55.72,24,0,0.0,0.0,4 - Clean
167,94,4723.98,50.26,28,1,316.15,1.064,3 - Watch
168,84,3850.93,45.84,28,0,0.0,0.0,4 - Clean
169,95,4403.94,46.36,33,0,0.0,0.0,4 - Clean
170,104,6973.01,67.05,33,1,509.45,0.962,3 - Watch
171,48,2744.78,57.18,18,0,0.0,0.0,4 - Clean
172,73,4717.64,64.63,21,0,0.0,0.0,4 - Clean
173,87,4709.93,54.14,32,0,0.0,0.0,4 - Clean
174,62,3035.93,48.97,21,0,0.0,0.0,4 - Clean
175,77,3101.33,40.28,30,1,289.05,1.299,3 - Watch
176,108,6041.03,55.94,32,0,0.0,0.0,4 - Clean
177,76,3312.07,43.58,26,0,0.0,0.0,4 - Clean
178,68,2676.0,39.35,23,0,0.0,0.0,4 - Clean
179,60,2579.39,42.99,18,0,0.0,0.0,4 - Clean
180,105,6072.7,57.84,39,1,298.8,0.952,3 - Watch
181,89,4291.9,48.22,33,0,0.0,0.0,4 - Clean
182,76,3261.6,42.92,20,0,0.0,0.0,4 - Clean
183,39,1971.13,50.54,14,0,0.0,0.0,4 - Clean
184,154,9050.63,58.77,47,1,129.85,0.649,3 - Watch
185,55,2744.03,49.89,17,0,0.0,0.0,4 - Clean
186,57,2939.41,51.57,29,0,0.0,0.0,4 - Clean
187,112,6508.42,58.11,33,0,0.0,0.0,4 - Clean
188,67,3237.17,48.32,26,0,0.0,0.0,4 - Clean
189,70,3483.8,49.77,21,1,78.2,1.429,3 - Watch
190,68,4303.22,63.28,36,1,399.8,1.471,3 - Watch
191,45,1692.13,37.6,15,0,0.0,0.0,4 - Clean
192,108,6365.64,58.94,36,0,0.0,0.0,4 - Clean
193,72,4400.35,61.12,25,0,0.0,0.0,4 - Clean
194,82,5042.65,61.5,23,0,0.0,0.0,4 - Clean
195,82,3377.27,41.19,30,0,0.0,0.0,4 - Clean
196,77,3800.34,49.36,23,0,0.0,0.0,4 - Clean
197,69,4116.77,59.66,22,0,0.0,0.0,4 - Clean
198,125,5351.93,42.82,41,0,0.0,0.0,4 - Clean
199,102,5855.69,57.41,33,0,0.0,0.0,4 - Clean
200,130,6663.9,51.26,41,0,0.0,0.0,4 - Clean
201,97,4953.55,51.07,27,3,465.7,3.093,2 - High
202,96,5161.93,53.77,27,1,444.3,1.042,3 - Watch
203,96,5057.7,52.68,30,0,0.0,0.0,4 - Clean
204,117,4872.02,41.64,39,0,0.0,0.0,4 - Clean
205,99,4497.69,45.43,28,0,0.0,0.0,4 - Clean
206,89,5327.46,59.86,33,0,0.0,0.0,4 - Clean
207,108,6373.56,59.01,32,0,0.0,0.0,4 - Clean
208,108,4258.81,39.43,36,0,0.0,0.0,4 - Clean
209,96,6155.26,64.12,32,0,0.0,0.0,4 - Clean
210,84,4345.85,51.74,30,0,0.0,0.0,4 - Clean
211,67,3647.3,54.44,22,0,0.0,0.0,4 - Clean
212,115,6283.33,54.64,40,0,0.0,0.0,4 - Clean
213,97,5312.05,54.76,24,0,0.0,0.0,4 - Clean
214,105,4854.43,46.23,38,0,0.0,0.0,4 - Clean
215,67,3790.98,56.58,27,0,0.0,0.0,4 - Clean
216,59,3169.79,53.73,26,0,0.0,0.0,4 - Clean
217,129,7441.24,57.68,33,0,0.0,0.0,4 - Clean
218,88,4383.17,49.81,35,0,0.0,0.0,4 - Clean
219,116,6468.37,55.76,34,0,0.0,0.0,4 - Clean
220,67,3341.45,49.87,21,0,0.0,0.0,4 - Clean
221,61,4264.94,69.92,15,0,0.0,0.0,4 - Clean
222,105,5810.1,55.33,36,0,0.0,0.0,4 - Clean
223,86,3823.28,44.46,30,0,0.0,0.0,4 - Clean
224,94,5216.85,55.5,31,0,0.0,0.0,4 - Clean
225,111,6241.19,56.23,35,1,114.25,0.901,3 - Watch
226,94,6535.45,69.53,21,1,571.8,1.064,3 - Watch
227,46,2448.53,53.23,21,1,392.3,2.174,2 - High
228,144,6960.83,48.34,40,0,0.0,0.0,4 - Clean
229,109,5123.26,47.0,37,0,0.0,0.0,4 - Clean
230,119,6813.45,57.26,34,0,0.0,0.0,4 - Clean
231,76,4682.49,61.61,27,0,0.0,0.0,4 - Clean
232,98,5586.14,57.0,26,0,0.0,0.0,4 - Clean
233,49,2372.45,48.42,17,18,883.35,36.735,1 - Critical
234,95,4213.8,44.36,36,0,0.0,0.0,4 - Clean
235,88,4674.66,53.12,28,0,0.0,0.0,4 - Clean
236,84,5294.44,63.03,32,0,0.0,0.0,4 - Clean
237,89,4263.19,47.9,29,0,0.0,0.0,4 - Clean
238,70,3746.47,53.52,25,0,0.0,0.0,4 - Clean
239,97,5069.59,52.26,25,0,0.0,0.0,4 - Clean
240,89,3646.65,40.97,33,0,0.0,0.0,4 - Clean
241,77,4708.8,61.15,26,0,0.0,0.0,4 - Clean
242,90,5105.98,56.73,29,0,0.0,0.0,4 - Clean
243,67,3663.16,54.67,20,0,0.0,0.0,4 - Clean
244,94,4301.0,45.76,37,0,0.0,0.0,4 - Clean
245,99,4279.22,43.22,36,0,0.0,0.0,4 - Clean
246,89,4462.61,50.14,33,0,0.0,0.0,4 - Clean
247,97,4666.75,48.11,32,0,0.0,0.0,4 - Clean
248,142,9068.14,63.86,44,2,98.6,1.408,3 - Watch
249,57,2608.19,45.76,24,0,0.0,0.0,4 - Clean
250,89,4913.47,55.21,27,0,0.0,0.0,4 - Clean
251,78,5674.57,72.75,29,2,530.3,2.564,2 - High
252,87,4600.38,52.88,26,0,0.0,0.0,4 - Clean
253,98,5901.37,60.22,32,1,485.05,1.02,3 - Watch
254,70,3381.11,48.3,24,0,0.0,0.0,4 - Clean
255,85,4383.25,51.57,32,0,0.0,0.0,4 - Clean
256,99,4308.74,43.52,33,0,0.0,0.0,4 - Clean
257,102,4671.73,45.8,35,0,0.0,0.0,4 - Clean
258,118,6166.16,52.26,33,0,0.0,0.0,4 - Clean
259,40,2101.43,52.54,16,0,0.0,0.0,4 - Clean
260,78,4554.76,58.39,30,0,0.0,0.0,4 - Clean
261,82,4003.75,48.83,28,16,791.54,19.512,1 - Critical
262,110,6790.39,61.73,32,0,0.0,0.0,4 - Clean
263,80,4750.89,59.39,33,0,0.0,0.0,4 - Clean
264,79,4480.09,56.71,28,0,0.0,0.0,4 - Clean
265,94,5473.77,58.23,25,0,0.0,0.0,4 - Clean
266,104,6028.71,57.97,30,0,0.0,0.0,4 - Clean
267,91,5092.86,55.97,31,0,0.0,0.0,4 - Clean
268,102,4901.79,48.06,32,0,0.0,0.0,4 - Clean
269,67,3579.37,53.42,26,0,0.0,0.0,4 - Clean
270,78,4902.38,62.85,25,1,277.15,1.282,3 - Watch
271,66,3673.88,55.66,22,0,0.0,0.0,4 - Clean
272,83,4430.7,53.38,22,0,0.0,0.0,4 - Clean
273,91,5554.73,61.04,31,1,220.94,1.099,3 - Watch
274,53,2140.75,40.39,18,0,0.0,0.0,4 - Clean
275,84,4355.61,51.85,30,0,0.0,0.0,4 - Clean
276,82,5875.22,71.65,23,1,521.9,1.22,3 - Watch
277,87,4833.12,55.55,30,2,705.2,2.299,2 - High
278,77,5004.47,64.99,28,0,0.0,0.0,4 - Clean
279,132,7100.54,53.79,34,0,0.0,0.0,4 - Clean
280,100,5766.4,57.66,27,0,0.0,0.0,4 - Clean
281,72,4091.05,56.82,24,0,0.0,0.0,4 - Clean
282,85,4853.29,57.1,30,0,0.0,0.0,4 - Clean
283,79,4272.11,54.08,30,0,0.0,0.0,4 - Clean
284,35,1739.4,49.7,13,0,0.0,0.0,4 - Clean
285,106,5873.44,55.41,37,1,505.1,0.943,3 - Watch
286,80,5971.93,74.65,30,1,526.7,1.25,3 - Watch
287,67,3908.58,58.34,26,0,0.0,0.0,4 - Clean
288,49,2517.01,51.37,23,0,0.0,0.0,4 - Clean
289,86,4969.85,57.79,28,0,0.0,0.0,4 - Clean
290,106,5637.06,53.18,35,0,0.0,0.0,4 - Clean
291,72,3452.73,47.95,29,1,75.2,1.389,3 - Watch
292,88,5886.65,66.89,24,1,251.42,1.136,3 - Watch
293,154,9892.13,64.23,42,55,4421.67,35.714,1 - Critical
294,73,2952.71,40.45,26,0,0.0,0.0,4 - Clean
295,122,6224.54,51.02,38,1,407.65,0.82,3 - Watch
296,62,2334.34,37.65,23,1,97.65,1.613,3 - Watch
297,108,5736.95,53.12,33,0,0.0,0.0,4 - Clean
298,77,4128.69,53.62,25,0,0.0,0.0,4 - Clean
299,95,6159.39,64.84,28,0,0.0,0.0,4 - Clean
300,70,3727.45,53.25,29,0,0.0,0.0,4 - Clean
301,105,6869.62,65.42,32,0,0.0,0.0,4 - Clean
302,121,6754.02,55.82,38,1,224.85,0.826,3 - Watch
303,86,3909.28,45.46,35,0,0.0,0.0,4 - Clean
304,84,3632.39,43.24,30,0,0.0,0.0,4 - Clean
305,92,5059.24,54.99,32,0,0.0,0.0,4 - Clean
306,87,6082.03,69.91,30,0,0.0,0.0,4 - Clean
307,54,3489.39,64.62,17,0,0.0,0.0,4 - Clean
308,60,3396.78,56.61,20,0,0.0,0.0,4 - Clean
309,107,5018.89,46.91,28,0,0.0,0.0,4 - Clean
310,58,2724.26,46.97,24,0,0.0,0.0,4 - Clean
311,97,4448.45,45.86,35,0,0.0,0.0,4 - Clean
312,70,3050.3,43.58,24,18,839.0,25.714,1 - Critical
313,67,4176.38,62.33,22,0,0.0,0.0,4 - Clean
314,86,5293.71,61.55,29,0,0.0,0.0,4 - Clean
315,117,6114.56,52.26,38,0,0.0,0.0,4 - Clean
316,144,7681.2,53.34,41,0,0.0,0.0,4 - Clean
317,110,5413.12,49.21,36,0,0.0,0.0,4 - Clean
318,118,5438.22,46.09,39,0,0.0,0.0,4 - Clean
319,88,3745.53,42.56,29,1,24.15,1.136,3 - Watch
320,90,4664.05,51.82,33,1,174.55,1.111,3 - Watch
321,60,3745.82,62.43,19,0,0.0,0.0,4 - Clean
322,124,6597.18,53.2,41,0,0.0,0.0,4 - Clean
323,94,4548.54,48.39,29,0,0.0,0.0,4 - Clean
324,106,4981.53,47.0,36,0,0.0,0.0,4 - Clean
325,58,2815.11,48.54,24,0,0.0,0.0,4 - Clean
326,95,6524.81,68.68,29,0,0.0,0.0,4 - Clean
327,80,4247.89,53.1,22,1,237.5,1.25,3 - Watch
328,105,5641.21,53.73,36,0,0.0,0.0,4 - Clean
329,95,5655.27,59.53,34,0,0.0,0.0,4 - Clean
330,70,3703.95,52.91,26,0,0.0,0.0,4 - Clean
331,106,5035.86,47.51,33,1,140.35,0.943,3 - Watch
332,70,2735.88,39.08,23,0,0.0,0.0,4 - Clean
333,98,4956.71,50.58,29,1,161.95,1.02,3 - Watch
334,73,3651.52,50.02,27,0,0.0,0.0,4 - Clean
335,114,6655.74,58.38,38,0,0.0,0.0,4 - Clean
336,98,4659.41,47.54,38,1,477.05,1.02,3 - Watch
337,77,4107.24,53.34,24,0,0.0,0.0,4 - Clean
338,63,3100.45,49.21,19,0,0.0,0.0,4 - Clean
339,101,5577.59,55.22,29,0,0.0,0.0,4 - Clean
340,73,4734.41,64.85,34,1,220.06,1.37,3 - Watch
341,81,3310.49,40.87,28,0,0.0,0.0,4 - Clean
342,112,5488.43,49.0,32,0,0.0,0.0,4 - Clean
343,98,3952.18,40.33,36,0,0.0,0.0,4 - Clean
344,81,4255.64,52.54,28,0,0.0,0.0,4 - Clean
345,67,3912.86,58.4,18,1,240.4,1.493,3 - Watch
346,78,3084.31,39.54,29,0,0.0,0.0,4 - Clean
347,62,3536.6,57.04,20,0,0.0,0.0,4 - Clean
348,65,2934.41,45.14,28,0,0.0,0.0,4 - Clean
349,114,5041.56,44.22,37,0,0.0,0.0,4 - Clean
350,103,5859.45,56.89,32,0,0.0,0.0,4 - Clean
351,99,5258.43,53.12,29,0,0.0,0.0,4 - Clean
352,62,3691.1,59.53,24,0,0.0,0.0,4 - Clean
353,99,5347.88,54.02,30,0,0.0,0.0,4 - Clean
354,84,5006.18,59.6,27,1,69.55,1.19,3 - Watch
355,75,4192.33,55.9,30,0,0.0,0.0,4 - Clean
356,73,3774.18,51.7,29,0,0.0,0.0,4 - Clean
357,109,6253.36,57.37,37,0,0.0,0.0,4 - Clean
358,57,2860.24,50.18,21,14,686.96,24.561,1 - Critical
359,66,4468.99,67.71,26,1,516.6,1.515,3 - Watch
360,68,4015.64,59.05,27,0,0.0,0.0,4 - Clean
361,63,3909.16,62.05,21,0,0.0,0.0,4 - Clean
362,91,4506.61,49.52,32,0,0.0,0.0,4 - Clean
363,75,3574.62,47.66,29,0,0.0,0.0,4 - Clean
364,125,5904.24,47.23,39,1,87.7,0.8,3 - Watch
365,114,7302.58,64.06,34,0,0.0,0.0,4 - Clean
366,65,3172.83,48.81,24,0,0.0,0.0,4 - Clean
367,76,4777.63,62.86,31,18,1458.73,23.684,1 - Critical
368,80,2859.91,35.75,23,0,0.0,0.0,4 - Clean
369,55,2495.92,45.38,21,0,0.0,0.0,4 - Clean
370,108,5211.14,48.25,26,0,0.0,0.0,4 - Clean
371,84,5233.85,62.31,27,0,0.0,0.0,4 - Clean
372,70,3146.39,44.95,21,0,0.0,0.0,4 - Clean
373,107,4568.34,42.69,36,1,115.65,0.935,3 - Watch
374,88,3458.31,39.3,26,0,0.0,0.0,4 - Clean
375,125,6472.15,51.78,37,0,0.0,0.0,4 - Clean
376,116,6568.21,56.62,40,1,457.2,0.862,3 - Watch
377,105,5125.61,48.82,39,0,0.0,0.0,4 - Clean
378,84,5355.17,63.75,29,0,0.0,0.0,4 - Clean
379,100,5450.21,54.5,30,0,0.0,0.0,4 - Clean
380,145,8264.42,57.0,30,1,426.4,0.69,3 - Watch
381,80,4273.32,53.42,29,0,0.0,0.0,4 - Clean
382,114,6748.7,59.2,26,0,0.0,0.0,4 - Clean
383,66,3492.24,52.91,28,0,0.0,0.0,4 - Clean
384,96,5539.91,57.71,33,1,237.61,1.042,3 - Watch
385,82,3928.07,47.9,32,0,0.0,0.0,4 - Clean
386,101,6453.69,63.9,31,0,0.0,0.0,4 - Clean
387,67,3153.14,47.06,22,0,0.0,0.0,4 - Clean
388,73,5313.74,72.79,24,1,365.9,1.37,3 - Watch
389,78,4781.44,61.3,31,0,0.0,0.0,4 - Clean
390,80,4823.1,60.29,20,0,0.0,0.0,4 - Clean
391,84,6037.47,71.87,24,1,333.85,1.19,3 - Watch
392,82,4475.22,54.58,29,0,0.0,0.0,4 - Clean
393,96,5245.74,54.64,35,0,0.0,0.0,4 - Clean
394,88,3983.59,45.27,30,0,0.0,0.0,4 - Clean
395,100,4983.03,49.83,31,0,0.0,0.0,4 - Clean
396,91,4539.48,49.88,32,0,0.0,0.0,4 - Clean
397,82,3536.91,43.13,32,0,0.0,0.0,4 - Clean
398,66,3320.75,50.31,25,0,0.0,0.0,4 - Clean
399,86,5089.51,59.18,37,2,261.39,2.326,2 - High
400,101,5545.6,54.91,29,0,0.0,0.0,4 - Clean
401,149,8327.69,55.89,35,0,0.0,0.0,4 - Clean
402,96,4578.55,47.69,30,0,0.0,0.0,4 - Clean
403,60,2957.56,49.29,22,0,0.0,0.0,4 - Clean
404,65,3358.33,51.67,21,0,0.0,0.0,4 - Clean
405,116,6285.5,54.19,28,1,106.55,0.862,3 - Watch
406,70,3698.74,52.84,29,0,0.0,0.0,4 - Clean
407,115,6464.95,56.22,32,1,232.66,0.87,3 - Watch
408,76,4292.87,56.49,29,0,0.0,0.0,4 - Clean
409,68,3269.22,48.08,25,0,0.0,0.0,4 - Clean
410,78,3519.66,45.12,25,0,0.0,0.0,4 - Clean
411,66,3033.95,45.97,27,0,0.0,0.0,4 - Clean
412,117,5766.35,49.29,36,0,0.0,0.0,4 - Clean
413,56,2578.1,46.04,23,0,0.0,0.0,4 - Clean
414,90,5096.55,56.63,26,1,112.2,1.111,3 - Watch
415,75,4265.4,56.87,27,1,244.65,1.333,3 - Watch
416,97,4749.01,48.96,33,0,0.0,0.0,4 - Clean
417,98,5359.32,54.69,36,1,36.8,1.02,3 - Watch
418,89,4523.85,50.83,37,0,0.0,0.0,4 - Clean
419,61,3426.04,56.16,26,0,0.0,0.0,4 - Clean
420,70,3123.55,44.62,26,0,0.0,0.0,4 - Clean
421,108,5527.47,51.18,33,0,0.0,0.0,4 - Clean
422,77,4063.47,52.77,27,1,212.85,1.299,3 - Watch
423,102,6514.56,63.87,29,0,0.0,0.0,4 - Clean
424,114,4987.93,43.75,37,0,0.0,0.0,4 - Clean
425,92,5318.84,57.81,30,1,220.84,1.087,3 - Watch
426,80,4323.44,54.04,31,0,0.0,0.0,4 - Clean
427,59,3155.54,53.48,16,1,282.0,1.695,3 - Watch
428,85,3721.17,43.78,29,0,0.0,0.0,4 - Clean
429,97,5343.6,55.09,31,0,0.0,0.0,4 - Clean
430,86,3931.63,45.72,24,0,0.0,0.0,4 - Clean
431,90,5703.94,63.38,37,0,0.0,0.0,4 - Clean
432,110,5192.39,47.2,36,0,0.0,0.0,4 - Clean
433,139,6586.3,47.38,46,0,0.0,0.0,4 - Clean
