rank,pct_terminals,fraud_volume,cum,cum_pct
210,2.1,848.85,295318.55000000005,31.83
211,2.11,848.05,296166.60000000003,31.92
212,2.12,847.95,297014.55000000005,32.01
213,2.13,846.76,297861.31000000006,32.1
214,2.14,845.48,298706.79000000004,32.19
215,2.15,839.19,299545.98000000004,32.28
216,2.16,839.0,300384.98000000004,32.38
217,2.17,837.85,301222.83,32.47
218,2.18,832.2,302055.03,32.56
219,2.19,831.0,302886.03,32.64
220,2.2,825.85,303711.88,32.73
221,2.21,825.74,304537.62,32.82
222,2.22,824.5,305362.12,32.91
223,2.23,821.9,306184.02,33.0
224,2.24,818.4,307002.42000000004,33.09
225,2.25,817.55,307819.97000000003,33.18
226,2.26,812.17,308632.14,33.26
227,2.27,812.15,309444.29000000004,33.35
228,2.28,810.93,310255.22000000003,33.44
229,2.29,806.35,311061.57,33.53
230,2.3,805.65,311867.22000000003,33.61
231,2.31,801.65,312668.87000000005,33.7
232,2.32,800.11,313468.98000000004,33.79
233,2.33,800.1,314269.08,33.87
234,2.34,800.0,315069.08,33.96
235,2.35,799.43,315868.51,34.04
236,2.36,796.87,316665.38,34.13
237,2.37,791.54,317456.92,34.22
238,2.38,791.11,318248.02999999997,34.3
239,2.39,789.45,319037.48,34.39
240,2.4,781.55,319819.02999999997,34.47
241,2.41,778.75,320597.77999999997,34.55
242,2.42,774.9,321372.68,34.64
243,2.43,774.6,322147.27999999997,34.72
244,2.44,772.05,322919.32999999996,34.8
245,2.45,772.0,323691.32999999996,34.89
246,2.46,771.7,324463.02999999997,34.97
247,2.47,770.25,325233.27999999997,35.05
248,2.48,770.23,326003.50999999995,35.14
249,2.49,768.45,326771.95999999996,35.22
250,2.5,765.7,327537.66,35.3
251,2.51,763.55,328301.20999999996,35.38
252,2.52,761.8,329063.00999999995,35.47
253,2.53,761.55,329824.55999999994,35.55
254,2.54,761.08,330585.63999999996,35.63
255,2.55,757.62,331343.25999999995,35.71
256,2.56,756.52,332099.77999999997,35.79
257,2.57,755.0,332854.77999999997,35.87
258,2.58,754.8,333609.57999999996,35.96
259,2.59,753.7,334363.27999999997,36.04
260,2.6,753.5,335116.77999999997,36.12
261,2.61,752.77,335869.55,36.2
262,2.62,748.85,336618.39999999997,36.28
263,2.63,748.5,337366.89999999997,36.36
264,2.64,748.45,338115.35,36.44
265,2.65,746.5,338861.85,36.52
266,2.66,744.85,339606.69999999995,36.6
267,2.67,744.55,340351.24999999994,36.68
268,2.68,742.25,341093.49999999994,36.76
269,2.69,740.7,341834.19999999995,36.84
270,2.7,739.25,342573.44999999995,36.92
271,2.71,738.0,343311.44999999995,37.0
272,2.72,736.9,344048.35,37.08
273,2.73,735.81,344784.16,37.16
274,2.74,735.19,345519.35,37.24
275,2.75,734.83,346254.18,37.32
276,2.76,734.55,346988.73,37.4
277,2.77,734.2,347722.93,37.48
278,2.78,733.8,348456.73,37.56
279,2.79,732.15,349188.88,37.64
280,2.8,728.9,349917.78,37.71
281,2.81,727.5,350645.28,37.79
282,2.82,726.65,351371.93000000005,37.87
283,2.83,725.35,352097.28,37.95
284,2.84,723.4,352820.68000000005,38.03
285,2.85,723.2,353543.88000000006,38.1
286,2.86,723.15,354267.0300000001,38.18
287,2.87,722.45,354989.4800000001,38.26
288,2.88,717.67,355707.1500000001,38.34
289,2.89,716.7,356423.8500000001,38.41
290,2.9,716.61,357140.4600000001,38.49
291,2.91,716.5,357856.9600000001,38.57
292,2.92,715.28,358572.2400000001,38.65
293,2.93,714.75,359286.9900000001,38.72
294,2.94,712.95,359999.9400000001,38.8
295,2.95,712.7,360712.64000000013,38.88
296,2.96,711.55,361424.1900000001,38.95
297,2.97,711.4,362135.59000000014,39.03
298,2.98,709.55,362845.14000000013,39.11
299,2.99,708.2,363553.34000000014,39.18
300,3.0,706.8,364260.14000000013,39.26
301,3.01,705.2,364965.34000000014,39.34
302,3.02,702.9,365668.24000000017,39.41
303,3.03,702.85,366371.09000000014,39.49
304,3.04,701.3,367072.39000000013,39.56
305,3.05,700.6,367772.9900000001,39.64
306,3.06,700.37,368473.3600000001,39.71
307,3.07,700.0,369173.3600000001,39.79
308,3.08,699.2,369872.5600000001,39.86
309,3.09,697.3,370569.8600000001,39.94
310,3.1,697.0,371266.8600000001,40.01
311,3.11,696.95,371963.8100000001,40.09
312,3.12,696.75,372660.5600000001,40.16
313,3.13,695.15,373355.71000000014,40.24
314,3.14,693.9,374049.61000000016,40.31
315,3.15,693.35,374742.96000000014,40.39
316,3.16,693.0,375435.96000000014,40.46
317,3.17,692.15,376128.11000000016,40.54
318,3.18,690.8,376818.91000000015,40.61
319,3.19,690.2,377509.11000000016,40.69
320,3.2,688.3,378197.41000000015,40.76
321,3.21,687.45,378884.86000000016,40.84
322,3.22,687.15,379572.0100000002,40.91
323,3.23,686.96,380258.9700000002,40.98
324,3.24,686.85,380945.8200000002,41.06
325,3.25,686.67,381632.49000000017,41.13
326,3.26,686.05,382318.54000000015,41.21
327,3.27,685.15,383003.6900000002,41.28
328,3.28,684.58,383688.2700000002,41.35
329,3.29,683.35,384371.62000000017,41.43
330,3.3,682.8,385054.42000000016,41.5
331,3.31,682.4,385736.8200000002,41.57
332,3.32,680.45,386417.2700000002,41.65
333,3.33,680.05,387097.3200000002,41.72
334,3.34,678.25,387775.5700000002,41.79
335,3.35,676.57,388452.1400000002,41.87
336,3.36,676.15,389128.2900000002,41.94
337,3.37,675.91,389804.2000000002,42.01
338,3.38,675.34,390479.5400000002,42.09
339,3.39,675.0,391154.5400000002,42.16
340,3.4,674.95,391829.4900000002,42.23
341,3.41,673.95,392503.44000000024,42.3
342,3.42,673.65,393177.09000000026,42.38
343,3.43,672.8,393849.89000000025,42.45
344,3.44,672.1,394521.9900000002,42.52
345,3.45,671.86,395193.8500000002,42.59
346,3.46,669.3,395863.1500000002,42.67
347,3.47,663.6,396526.7500000002,42.74
348,3.48,662.45,397189.2000000002,42.81
349,3.49,662.3,397851.5000000002,42.88
350,3.5,659.65,398511.1500000002,42.95
351,3.51,659.65,399170.8000000002,43.02
352,3.52,657.95,399828.75000000023,43.09
353,3.53,657.55,400486.3000000002,43.16
354,3.54,656.8,401143.1000000002,43.23
355,3.55,655.3,401798.4000000002,43.31
356,3.56,655.15,402453.5500000002,43.38
357,3.57,654.3,403107.8500000002,43.45
358,3.58,654.15,403762.00000000023,43.52
359,3.59,650.05,404412.0500000002,43.59
360,3.6,646.7,405058.75000000023,43.66
361,3.61,645.95,405704.70000000024,43.73
362,3.62,645.25,406349.95000000024,43.8
363,3.63,644.95,406994.90000000026,43.87
364,3.64,642.1,407637.00000000023,43.93
365,3.65,641.65,408278.65000000026,44.0
366,3.66,641.0,408919.65000000026,44.07
367,3.67,637.35,409557.00000000023,44.14
368,3.68,636.7,410193.70000000024,44.21
369,3.69,635.95,410829.65000000026,44.28
370,3.7,635.4,411465.0500000003,44.35
371,3.71,635.2,412100.2500000003,44.42
372,3.72,634.25,412734.5000000003,44.48
373,3.73,633.65,413368.1500000003,44.55
374,3.74,632.84,414000.99000000034,44.62
375,3.75,632.78,414633.77000000037,44.69
376,3.76,630.85,415264.62000000034,44.76
377,3.77,630.34,415894.96000000037,44.82
378,3.78,629.55,416524.51000000036,44.89
379,3.79,628.95,417153.46000000037,44.96
380,3.8,625.35,417778.81000000035,45.03
381,3.81,624.9,418403.71000000037,45.09
382,3.82,622.99,419026.70000000036,45.16
383,3.83,622.45,419649.1500000004,45.23
384,3.84,619.95,420269.1000000004,45.3
385,3.85,619.6,420888.70000000036,45.36
386,3.86,618.35,421507.05000000034,45.43
387,3.87,617.9,422124.95000000036,45.5
388,3.88,617.05,422742.00000000035,45.56
389,3.89,616.8,423358.80000000034,45.63
390,3.9,616.1,423974.9000000003,45.7
391,3.91,615.06,424589.9600000003,45.76
392,3.92,614.52,425204.48000000033,45.83
393,3.93,613.95,425818.43000000034,45.89
394,3.94,611.8,426430.23000000033,45.96
395,3.95,610.15,427040.38000000035,46.03
396,3.96,609.75,427650.13000000035,46.09
397,3.97,608.85,428258.98000000033,46.16
398,3.98,608.4,428867.38000000035,46.22
399,3.99,606.1,429473.48000000033,46.29
400,4.0,605.75,430079.23000000033,46.35
401,4.01,604.7,430683.93000000034,46.42
402,4.02,604.15,431288.08000000037,46.48
403,4.03,603.3,431891.38000000035,46.55
404,4.04,602.5,432493.88000000035,46.61
405,4.05,602.1,433095.98000000033,46.68
406,4.06,601.95,433697.93000000034,46.74
407,4.07,601.45,434299.38000000035,46.81
408,4.08,600.85,434900.23000000033,46.87
409,4.09,598.3,435498.5300000003,46.94
410,4.1,597.25,436095.7800000003,47.0
411,4.11,596.75,436692.5300000003,47.07
412,4.12,596.0,437288.5300000003,47.13
413,4.13,595.9,437884.43000000034,47.19
414,4.14,595.7,438480.13000000035,47.26
415,4.15,594.44,439074.57000000036,47.32
416,4.16,591.65,439666.2200000004,47.39
417,4.17,591.29,440257.51000000036,47.45
418,4.18,590.6,440848.11000000034,47.51
419,4.19,589.56,441437.67000000033,47.58
420,4.2,589.51,442027.18000000034,47.64
421,4.21,589.5,442616.68000000034,47.7
422,4.22,589.35,443206.0300000003,47.77
423,4.23,588.45,443794.48000000033,47.83
424,4.24,587.75,444382.23000000033,47.89
425,4.25,587.7,444969.93000000034,47.96
426,4.26,587.7,445557.63000000035,48.02
427,4.27,582.85,446140.48000000033,48.08
428,4.28,580.5,446720.98000000033,48.15
429,4.29,579.55,447300.5300000003,48.21
430,4.3,578.65,447879.18000000034,48.27
431,4.31,576.92,448456.1000000003,48.33
432,4.32,576.9,449033.00000000035,48.4
433,4.33,575.77,449608.77000000037,48.46
434,4.34,574.59,450183.3600000004,48.52
435,4.35,574.0,450757.3600000004,48.58
436,4.36,571.8,451329.1600000004,48.64
437,4.37,571.05,451900.21000000037,48.71
438,4.38,569.85,452470.06000000035,48.77
439,4.39,569.15,453039.21000000037,48.83
440,4.4,569.0,453608.21000000037,48.89
441,4.41,568.65,454176.8600000004,48.95
442,4.42,568.4,454745.2600000004,49.01
443,4.43,568.07,455313.3300000004,49.07
444,4.44,567.95,455881.28000000044,49.13
445,4.45,567.6,456448.8800000004,49.2
446,4.46,567.35,457016.2300000004,49.26
447,4.47,567.15,457583.3800000004,49.32
448,4.48,566.4,458149.78000000044,49.38
449,4.49,565.75,458715.53000000044,49.44
450,4.5,564.35,459279.8800000004,49.5
451,4.51,563.05,459842.9300000004,49.56
452,4.52,561.8,460404.7300000004,49.62
453,4.53,560.65,460965.3800000004,49.68
454,4.54,560.34,461525.72000000044,49.74
455,4.55,560.2,462085.92000000045,49.8
456,4.56,559.5,462645.42000000045,49.86
457,4.57,555.7,463201.12000000046,49.92
458,4.58,554.65,463755.7700000005,49.98
459,4.59,554.55,464310.3200000005,50.04
460,4.6,553.65,464863.9700000005,50.1
461,4.61,553.6,465417.5700000005,50.16
462,4.62,552.5,465970.0700000005,50.22
463,4.63,552.4,466522.4700000005,50.28
464,4.64,552.0,467074.4700000005,50.34
465,4.65,551.4,467625.8700000005,50.4
466,4.66,550.26,468176.1300000005,50.46
467,4.67,549.5,468725.6300000005,50.52
468,4.68,549.15,469274.78000000055,50.58
469,4.69,549.0,469823.78000000055,50.64
470,4.7,548.85,470372.6300000005,50.7
471,4.71,548.5,470921.1300000005,50.76
472,4.72,546.9,471468.03000000055,50.81
473,4.73,545.1,472013.1300000005,50.87
474,4.74,545.05,472558.1800000005,50.93
475,4.75,544.79,473102.9700000005,50.99
476,4.76,543.25,473646.2200000005,51.05
477,4.77,542.95,474189.1700000005,51.11
478,4.78,542.35,474731.5200000005,51.17
479,4.79,541.5,475273.0200000005,51.22
480,4.8,539.8,475812.8200000005,51.28
481,4.81,538.85,476351.67000000045,51.34
482,4.82,538.8,476890.47000000044,51.4
483,4.83,538.5,477428.97000000044,51.46
484,4.84,537.9,477966.87000000046,51.51
485,4.85,534.9,478501.7700000005,51.57
486,4.86,534.48,479036.25000000047,51.63
487,4.87,533.0,479569.25000000047,51.69
488,4.88,532.7,480101.9500000005,51.74
489,4.89,532.1,480634.05000000045,51.8
490,4.9,532.05,481166.10000000044,51.86
491,4.91,530.75,481696.85000000044,51.92
492,4.92,530.65,482227.50000000047,51.97
493,4.93,530.55,482758.05000000045,52.03
494,4.94,530.3,483288.35000000044,52.09
495,4.95,529.95,483818.30000000045,52.15
496,4.96,528.18,484346.48000000045,52.2
497,4.97,526.74,484873.22000000044,52.26
498,4.98,526.7,485399.92000000045,52.32
499,4.99,526.65,485926.5700000005,52.37
500,5.0,526.45,486453.0200000005,52.43
501,5.01,526.0,486979.0200000005,52.49
502,5.02,525.7,487504.7200000005,52.54
503,5.03,525.3,488030.0200000005,52.6
504,5.04,524.85,488554.87000000046,52.66
505,5.05,524.65,489079.5200000005,52.71
506,5.06,524.65,489604.1700000005,52.77
507,5.07,524.62,490128.7900000005,52.83
508,5.08,524.15,490652.9400000005,52.88
509,5.09,523.5,491176.4400000005,52.94
510,5.1,523.2,491699.64000000054,52.99
511,5.11,522.2,492221.84000000055,53.05
512,5.12,521.9,492743.7400000006,53.11
513,5.13,521.9,493265.6400000006,53.16
514,5.14,521.83,493787.4700000006,53.22
515,5.15,521.6,494309.0700000006,53.28
516,5.16,520.45,494829.5200000006,53.33
517,5.17,519.6,495349.1200000006,53.39
518,5.18,519.15,495868.2700000006,53.44
519,5.19,518.65,496386.9200000006,53.5
520,5.2,518.1,496905.0200000006,53.56
521,5.21,517.65,497422.6700000006,53.61
522,5.22,517.45,497940.12000000064,53.67
523,5.23,516.6,498456.7200000006,53.72
524,5.24,516.4,498973.12000000064,53.78
525,5.25,516.25,499489.37000000064,53.83
526,5.26,516.06,500005.43000000063,53.89
527,5.27,514.75,500520.18000000063,53.95
528,5.28,514.65,501034.83000000066,54.0
529,5.29,514.6,501549.43000000063,54.06
530,5.3,514.55,502063.9800000006,54.11
531,5.31,513.15,502577.13000000064,54.17
532,5.32,512.7,503089.83000000066,54.22
533,5.33,511.65,503601.4800000007,54.28
534,5.34,511.0,504112.4800000007,54.33
535,5.35,509.6,504622.08000000066,54.39
536,5.36,509.45,505131.53000000067,54.44
537,5.37,508.4,505639.9300000007,54.5
538,5.38,507.6,506147.53000000067,54.55
539,5.39,507.1,506654.63000000064,54.61
540,5.4,507.05,507161.68000000063,54.66
541,5.41,506.9,507668.58000000066,54.72
542,5.42,506.85,508175.43000000063,54.77
543,5.43,506.7,508682.13000000064,54.83
544,5.44,505.95,509188.08000000066,54.88
545,5.45,505.1,509693.18000000063,54.93
546,5.46,504.21,510197.39000000065,54.99
547,5.47,504.2,510701.59000000067,55.04
548,5.48,503.75,511205.34000000067,55.1
549,5.49,502.55,511707.89000000065,55.15
550,5.5,501.7,512209.59000000067,55.21
551,5.51,501.67,512711.26000000065,55.26
552,5.52,500.8,513212.06000000064,55.31
553,5.53,500.75,513712.81000000064,55.37
554,5.54,499.65,514212.46000000066,55.42
555,5.55,499.65,514712.1100000007,55.47
556,5.56,499.45,515211.5600000007,55.53
557,5.57,498.95,515710.5100000007,55.58
558,5.58,497.55,516208.0600000007,55.64
559,5.59,497.35,516705.4100000007,55.69
560,5.6,497.15,517202.5600000007,55.74
561,5.61,496.9,517699.4600000007,55.8
562,5.62,496.7,518196.16000000073,55.85
563,5.63,496.45,518692.61000000074,55.9
564,5.64,496.05,519188.66000000073,55.96
565,5.65,495.85,519684.5100000007,56.01
566,5.66,495.65,520180.16000000073,56.06
567,5.67,495.15,520675.31000000075,56.12
568,5.68,495.05,521170.36000000074,56.17
569,5.69,495.05,521665.41000000073,56.22
570,5.7,494.85,522160.2600000007,56.28
571,5.71,494.45,522654.7100000007,56.33
572,5.72,494.2,523148.91000000073,56.38
573,5.73,490.7,523639.61000000074,56.44
574,5.74,489.7,524129.31000000075,56.49
575,5.75,489.6,524618.9100000007,56.54
576,5.76,488.9,525107.8100000008,56.6
577,5.77,488.0,525595.8100000008,56.65
578,5.78,487.85,526083.6600000007,56.7
579,5.79,487.7,526571.3600000007,56.75
580,5.8,487.35,527058.7100000007,56.81
581,5.81,487.34,527546.0500000006,56.86
582,5.82,487.15,528033.2000000007,56.91
583,5.83,487.07,528520.2700000006,56.96
584,5.84,487.05,529007.3200000006,57.02
585,5.85,486.9,529494.2200000007,57.07
586,5.86,486.69,529980.9100000006,57.12
587,5.87,486.65,530467.5600000006,57.17
588,5.88,486.07,530953.6300000006,57.23
589,5.89,485.15,531438.7800000006,57.28
590,5.9,485.05,531923.8300000007,57.33
591,5.91,484.95,532408.7800000006,57.38
592,5.92,484.5,532893.2800000006,57.43
593,5.93,483.35,533376.6300000006,57.49
594,5.94,483.1,533859.7300000006,57.54
595,5.95,482.18,534341.9100000006,57.59
596,5.96,481.17,534823.0800000007,57.64
597,5.97,480.9,535303.9800000007,57.69
598,5.98,480.55,535784.5300000007,57.75
599,5.99,480.25,536264.7800000007,57.8
600,6.0,480.15,536744.9300000007,57.85
601,6.01,479.9,537224.8300000008,57.9
602,6.02,479.8,537704.6300000008,57.95
603,6.03,479.75,538184.3800000008,58.0
604,6.04,479.65,538664.0300000008,58.06
605,6.05,478.95,539142.9800000008,58.11
606,6.06,478.35,539621.3300000008,58.16
607,6.07,477.35,540098.6800000007,58.21
608,6.08,477.05,540575.7300000008,58.26
609,6.09,476.95,541052.6800000007,58.31
610,6.1,476.7,541529.3800000007,58.37
611,6.11,476.05,542005.4300000007,58.42
612,6.12,475.8,542481.2300000008,58.47
613,6.13,475.7,542956.9300000007,58.52
614,6.14,475.15,543432.0800000008,58.57
615,6.15,475.04,543907.1200000008,58.62
616,6.16,474.73,544381.8500000008,58.67
617,6.17,474.55,544856.4000000008,58.72
618,6.18,474.51,545330.9100000008,58.78
619,6.19,474.1,545805.0100000008,58.83
620,6.2,473.65,546278.6600000008,58.88
621,6.21,472.15,546750.8100000009,58.93
622,6.22,472.15,547222.9600000009,58.98
623,6.23,471.95,547694.9100000008,59.03
624,6.24,471.5,548166.4100000008,59.08
625,6.25,470.9,548637.3100000009,59.13
626,6.26,470.5,549107.8100000009,59.18
627,6.27,470.2,549578.0100000008,59.23
628,6.28,469.5,550047.5100000008,59.28
629,6.29,469.45,550516.9600000008,59.33
630,6.3,469.05,550986.0100000008,59.38
631,6.31,468.0,551454.0100000008,59.43
632,6.32,467.8,551921.8100000009,59.49
633,6.33,467.06,552388.8700000009,59.54
634,6.34,466.95,552855.8200000009,59.59
635,6.35,466.75,553322.5700000009,59.64
636,6.36,466.3,553788.8700000009,59.69
637,6.37,465.81,554254.680000001,59.74
638,6.38,465.7,554720.3800000009,59.79
639,6.39,464.75,555185.1300000009,59.84
640,6.4,462.4,555647.530000001,59.89
641,6.41,461.9,556109.430000001,59.94
642,6.42,461.15,556570.580000001,59.99
643,6.43,460.95,557031.530000001,60.04
