customer_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,first_seen,last_seen,fraud_txns,fraud_rate_pct,active_days,txns_per_day,value_segment,ever_compromised
48,148,11524.82,77.87,186.62,2018-04-02 08:27:18,2018-07-01 07:49:26,1,0.676,90,1.64,B - High Value,Yes
49,150,1654.93,11.03,23.51,2018-04-01 15:41:42,2018-06-30 18:11:22,1,0.667,91,1.65,D - Low Value,Yes
50,62,2456.6,39.62,94.56,2018-04-01 08:33:01,2018-07-01 15:55:00,0,0.0,92,0.67,D - Low Value,No
51,148,10146.06,68.55,140.97,2018-04-01 18:56:55,2018-07-01 09:54:23,0,0.0,91,1.63,B - High Value,No
52,70,6907.23,98.67,192.95,2018-04-01 14:53:09,2018-07-01 12:37:41,1,1.429,91,0.77,C - Mid Value,Yes
53,265,1940.62,7.32,16.1,2018-04-01 03:00:01,2018-07-01 12:43:05,0,0.0,92,2.88,D - Low Value,No
54,262,16826.42,64.22,163.03,2018-04-01 10:33:59,2018-07-01 06:11:45,0,0.0,91,2.88,A - Premium,No
55,294,9270.81,31.53,81.69,2018-04-01 01:56:44,2018-07-01 07:47:32,2,0.68,92,3.2,B - High Value,Yes
56,64,4963.89,77.56,142.33,2018-04-01 06:14:07,2018-07-01 00:38:25,1,1.562,91,0.7,C - Mid Value,Yes
57,68,2252.21,33.12,62.57,2018-04-07 16:15:20,2018-07-01 14:25:21,1,1.471,85,0.8,D - Low Value,Yes
58,145,3715.12,25.62,52.85,2018-04-01 07:30:04,2018-07-01 11:38:54,0,0.0,92,1.58,C - Mid Value,No
59,222,6962.66,31.36,69.06,2018-04-01 02:43:34,2018-07-01 06:20:54,2,0.901,92,2.41,C - Mid Value,Yes
60,38,1984.29,52.22,114.91,2018-04-04 02:52:46,2018-06-28 05:22:24,0,0.0,86,0.44,D - Low Value,No
61,60,3834.54,63.91,125.7,2018-04-01 11:59:34,2018-07-01 07:35:55,2,3.333,91,0.66,C - Mid Value,Yes
62,322,12834.65,39.86,97.77,2018-04-01 10:24:08,2018-06-30 21:25:16,4,1.242,91,3.54,B - High Value,Yes
63,22,1831.78,83.26,147.63,2018-04-13 11:12:43,2018-06-12 19:37:02,0,0.0,61,0.36,D - Low Value,No
64,94,9136.47,97.2,203.31,2018-04-01 05:36:35,2018-07-01 15:21:31,0,0.0,92,1.02,B - High Value,No
65,323,2027.46,6.28,15.59,2018-04-01 07:22:06,2018-07-01 10:08:59,0,0.0,92,3.51,D - Low Value,No
66,168,5770.04,34.35,75.74,2018-04-01 19:51:52,2018-07-01 09:05:31,0,0.0,91,1.85,C - Mid Value,No
67,277,28903.18,104.34,253.25,2018-04-01 03:41:00,2018-07-01 17:39:36,3,1.083,92,3.01,A - Premium,Yes
68,335,9361.15,27.94,68.76,2018-04-01 06:45:10,2018-07-01 16:28:40,3,0.896,92,3.64,B - High Value,Yes
69,323,20677.58,64.02,156.76,2018-04-01 04:37:03,2018-07-01 13:21:41,3,0.929,92,3.51,A - Premium,Yes
70,9,608.9,67.66,105.13,2018-04-23 05:33:32,2018-06-17 16:20:43,0,0.0,56,0.16,D - Low Value,No
71,170,20239.79,119.06,831.0,2018-04-01 09:31:54,2018-07-01 15:42:44,8,4.706,92,1.85,A - Premium,Yes
72,59,2579.15,43.71,87.13,2018-04-02 05:21:46,2018-06-30 12:59:46,0,0.0,90,0.66,D - Low Value,No
73,78,4303.65,55.18,121.1,2018-04-02 13:27:46,2018-07-01 12:01:25,1,1.282,90,0.87,C - Mid Value,Yes
74,335,32751.84,97.77,228.58,2018-04-01 07:22:48,2018-07-01 16:53:07,2,0.597,92,3.64,A - Premium,Yes
75,34,1234.29,36.3,91.01,2018-04-03 03:39:04,2018-06-29 09:00:09,0,0.0,88,0.39,D - Low Value,No
76,21,339.65,16.17,28.07,2018-04-02 11:10:59,2018-06-28 09:17:04,0,0.0,87,0.24,D - Low Value,No
77,53,4621.23,87.19,193.89,2018-04-01 03:12:11,2018-06-29 15:18:19,0,0.0,90,0.59,C - Mid Value,No
78,106,7584.15,71.55,138.63,2018-04-02 07:07:48,2018-07-01 09:46:43,0,0.0,91,1.16,B - High Value,No
79,251,30012.59,119.57,893.65,2018-04-01 08:59:11,2018-07-01 21:44:28,26,10.359,92,2.73,A - Premium,Yes
80,108,1212.55,11.23,26.36,2018-04-01 06:15:10,2018-07-01 16:07:13,0,0.0,92,1.17,D - Low Value,No
81,241,17593.54,73.0,185.36,2018-04-01 03:22:53,2018-07-01 19:13:13,0,0.0,92,2.62,A - Premium,No
82,295,6712.41,22.75,51.94,2018-04-01 09:29:02,2018-07-01 13:49:51,0,0.0,92,3.21,C - Mid Value,No
83,288,22420.42,77.85,172.88,2018-04-01 05:59:48,2018-07-01 16:15:40,0,0.0,92,3.13,A - Premium,No
84,75,5195.36,69.27,147.72,2018-04-02 11:07:25,2018-07-01 13:01:03,2,2.667,91,0.82,C - Mid Value,Yes
85,10,528.29,52.83,90.42,2018-04-11 17:14:03,2018-06-23 04:28:31,0,0.0,73,0.14,D - Low Value,No
86,92,5220.33,56.74,136.56,2018-04-04 17:16:01,2018-07-01 19:14:25,4,4.348,89,1.03,C - Mid Value,Yes
87,19,1407.97,74.1,149.1,2018-04-02 14:55:44,2018-06-28 07:45:36,0,0.0,87,0.22,D - Low Value,No
88,264,15239.87,57.73,124.99,2018-04-01 08:38:34,2018-07-01 22:36:11,3,1.136,92,2.87,A - Premium,Yes
89,357,15045.45,42.14,108.24,2018-04-01 10:18:04,2018-07-01 20:09:25,0,0.0,92,3.88,A - Premium,No
90,151,8729.27,57.81,164.74,2018-04-03 16:00:19,2018-07-01 10:50:07,0,0.0,89,1.7,B - High Value,No
91,143,10584.28,74.02,176.07,2018-04-02 10:29:09,2018-07-01 10:24:32,0,0.0,90,1.59,B - High Value,No
92,145,10414.67,71.83,150.37,2018-04-01 09:14:41,2018-07-01 18:14:36,0,0.0,92,1.58,B - High Value,No
93,59,1632.54,27.67,52.52,2018-04-01 23:27:24,2018-07-01 13:28:28,0,0.0,91,0.65,D - Low Value,No
94,196,9970.03,50.87,117.69,2018-04-01 07:58:34,2018-07-01 11:29:38,2,1.02,92,2.13,B - High Value,Yes
95,187,19423.71,103.87,247.45,2018-04-01 13:53:11,2018-07-01 11:46:45,1,0.535,91,2.05,A - Premium,Yes
96,60,4891.44,81.52,166.53,2018-04-02 11:31:19,2018-06-29 12:31:49,0,0.0,89,0.67,C - Mid Value,No
97,160,1849.82,11.56,28.33,2018-04-01 07:51:12,2018-07-01 13:19:52,0,0.0,92,1.74,D - Low Value,No
98,336,2895.72,8.62,22.04,2018-04-01 03:42:06,2018-07-01 14:41:31,2,0.595,92,3.65,C - Mid Value,Yes
99,68,483.93,7.12,12.97,2018-04-01 13:34:25,2018-06-30 20:25:33,0,0.0,91,0.75,D - Low Value,No
100,330,4856.91,14.72,42.36,2018-04-01 08:47:36,2018-07-01 15:34:47,2,0.606,92,3.59,C - Mid Value,Yes
101,83,3142.33,37.86,77.53,2018-04-01 17:02:39,2018-07-01 19:10:04,0,0.0,92,0.9,C - Mid Value,No
102,180,1187.73,6.6,17.09,2018-04-01 09:28:25,2018-07-01 23:13:32,0,0.0,92,1.96,D - Low Value,No
103,70,1756.83,25.1,57.62,2018-04-01 14:07:55,2018-07-01 19:09:17,1,1.429,92,0.76,D - Low Value,Yes
104,227,3823.59,16.84,36.9,2018-04-01 08:37:21,2018-07-01 18:05:02,2,0.881,92,2.47,C - Mid Value,Yes
105,50,2253.15,45.06,86.48,2018-04-03 07:57:44,2018-07-01 11:49:30,0,0.0,90,0.56,D - Low Value,No
106,22,2266.33,103.02,173.85,2018-04-02 17:50:49,2018-06-28 16:49:47,1,4.545,87,0.25,D - Low Value,Yes
107,227,6830.14,30.09,67.32,2018-04-01 08:15:05,2018-07-01 17:24:55,1,0.441,92,2.47,C - Mid Value,Yes
108,148,8352.07,56.43,124.87,2018-04-01 06:17:41,2018-07-01 14:37:13,0,0.0,92,1.61,B - High Value,No
109,177,13089.45,73.95,156.38,2018-04-01 11:00:46,2018-07-01 17:34:49,2,1.13,92,1.92,B - High Value,Yes
110,14,1444.3,103.16,182.75,2018-04-07 07:10:33,2018-07-01 10:25:36,0,0.0,86,0.16,D - Low Value,No
111,373,31571.92,84.64,194.34,2018-04-01 03:44:19,2018-07-01 18:08:16,4,1.072,92,4.05,A - Premium,Yes
112,330,11311.52,34.28,80.98,2018-04-01 08:06:51,2018-07-01 15:20:24,0,0.0,92,3.59,B - High Value,No
113,86,8849.72,102.9,226.4,2018-04-01 11:10:00,2018-06-30 04:47:56,1,1.163,90,0.96,B - High Value,Yes
114,321,24891.89,77.54,196.71,2018-04-01 04:45:06,2018-07-01 17:30:22,0,0.0,92,3.49,A - Premium,No
115,263,10959.57,41.67,97.76,2018-04-01 07:24:36,2018-07-01 18:07:02,0,0.0,92,2.86,B - High Value,No
116,101,4539.63,44.95,94.08,2018-04-01 11:50:37,2018-07-01 06:34:13,0,0.0,91,1.11,C - Mid Value,No
117,350,19925.37,56.93,136.37,2018-04-01 08:00:47,2018-07-01 21:06:58,3,0.857,92,3.8,A - Premium,Yes
118,263,26023.47,98.95,214.81,2018-04-01 13:22:50,2018-07-01 13:34:25,3,1.141,92,2.86,A - Premium,Yes
119,167,17164.45,102.78,234.16,2018-04-01 13:14:43,2018-07-01 14:19:09,1,0.599,92,1.82,A - Premium,Yes
120,134,2756.33,20.57,41.82,2018-04-01 04:40:02,2018-06-30 07:07:07,1,0.746,91,1.47,D - Low Value,Yes
121,302,12350.72,40.9,99.36,2018-04-01 08:48:42,2018-07-01 09:48:18,0,0.0,92,3.28,B - High Value,No
122,190,6344.13,33.39,73.04,2018-04-01 05:31:21,2018-07-01 17:13:30,1,0.526,92,2.07,C - Mid Value,Yes
123,98,5613.69,57.28,117.99,2018-04-01 13:34:19,2018-06-30 09:46:11,0,0.0,90,1.09,C - Mid Value,No
124,153,4656.02,30.43,58.99,2018-04-02 03:27:56,2018-06-30 19:06:54,0,0.0,90,1.7,C - Mid Value,No
125,272,16649.32,61.21,144.37,2018-04-01 06:44:24,2018-07-01 09:15:11,0,0.0,92,2.96,A - Premium,No
126,15,1330.25,88.68,185.86,2018-04-14 10:45:10,2018-06-25 12:18:36,1,6.667,73,0.21,D - Low Value,Yes
127,125,1896.11,15.17,32.56,2018-04-01 15:07:31,2018-07-01 13:44:38,0,0.0,91,1.37,D - Low Value,No
128,268,18042.73,67.32,172.47,2018-04-01 02:47:11,2018-07-01 12:40:55,0,0.0,92,2.91,A - Premium,No
129,301,20766.17,68.99,165.0,2018-04-01 08:29:06,2018-07-01 15:23:48,4,1.329,92,3.27,A - Premium,Yes
130,240,1884.31,7.85,19.87,2018-04-01 06:11:25,2018-07-01 11:21:25,1,0.417,92,2.61,D - Low Value,Yes
131,351,19459.71,55.44,122.76,2018-04-01 04:10:58,2018-07-01 19:25:11,0,0.0,92,3.82,A - Premium,No
132,124,865.9,6.98,15.86,2018-04-01 13:55:40,2018-07-01 20:19:58,1,0.806,92,1.35,D - Low Value,Yes
133,45,1204.22,26.76,49.61,2018-04-06 15:08:59,2018-07-01 17:52:30,0,0.0,87,0.52,D - Low Value,No
134,324,24321.86,75.07,173.69,2018-04-01 05:39:13,2018-07-01 14:58:29,0,0.0,92,3.52,A - Premium,No
135,226,13641.51,60.36,150.27,2018-04-01 12:24:34,2018-07-01 10:39:18,2,0.885,91,2.48,B - High Value,Yes
136,271,19574.25,72.23,140.28,2018-04-01 09:13:50,2018-07-01 12:37:48,3,1.107,92,2.95,A - Premium,Yes
137,36,2977.83,82.72,182.35,2018-04-01 18:03:35,2018-07-01 19:02:16,0,0.0,92,0.39,C - Mid Value,No
138,41,3263.47,79.6,162.19,2018-04-01 13:47:26,2018-06-30 09:42:35,0,0.0,90,0.46,C - Mid Value,No
139,302,23684.1,78.42,560.2,2018-04-01 02:36:35,2018-07-01 16:59:00,16,5.298,92,3.28,A - Premium,Yes
140,308,32183.79,104.49,274.32,2018-04-01 04:54:55,2018-07-01 13:40:41,3,0.974,92,3.35,A - Premium,Yes
141,315,21462.98,68.14,454.0,2018-04-01 15:58:49,2018-07-01 09:16:10,20,6.349,91,3.46,A - Premium,Yes
142,15,1228.0,81.87,155.47,2018-04-01 17:35:16,2018-06-28 21:32:23,0,0.0,89,0.17,D - Low Value,No
143,104,10128.57,97.39,201.85,2018-04-02 03:36:58,2018-07-01 10:28:41,0,0.0,91,1.14,B - High Value,No
144,329,15887.99,48.29,115.34,2018-04-01 05:29:59,2018-07-01 19:48:32,0,0.0,92,3.58,A - Premium,No
145,27,1381.06,51.15,97.69,2018-04-06 18:41:54,2018-06-28 04:33:34,0,0.0,83,0.33,D - Low Value,No
146,25,239.7,9.59,16.52,2018-04-06 15:06:03,2018-06-28 09:46:29,0,0.0,83,0.3,D - Low Value,No
147,307,23627.44,76.96,213.76,2018-04-01 11:09:21,2018-07-01 12:08:17,0,0.0,92,3.34,A - Premium,No
148,364,12492.44,34.32,93.73,2018-04-01 04:26:13,2018-07-01 15:12:08,1,0.275,92,3.96,B - High Value,Yes
149,366,15425.6,42.15,110.25,2018-04-01 06:30:33,2018-07-01 21:36:54,6,1.639,92,3.98,A - Premium,Yes
150,20,1426.52,71.33,129.79,2018-04-01 13:59:25,2018-06-19 11:27:51,1,5.0,79,0.25,D - Low Value,Yes
151,89,2580.78,29.0,60.99,2018-04-01 17:30:04,2018-07-01 15:16:31,0,0.0,91,0.98,D - Low Value,No
152,133,6607.31,49.68,122.45,2018-04-01 05:22:46,2018-07-01 19:59:42,0,0.0,92,1.45,C - Mid Value,No
153,101,1466.63,14.52,32.06,2018-04-02 11:52:03,2018-06-30 10:19:17,0,0.0,89,1.13,D - Low Value,No
154,350,15213.05,43.47,98.81,2018-04-01 07:26:22,2018-07-01 18:52:56,1,0.286,92,3.8,A - Premium,Yes
155,315,20835.72,66.15,165.78,2018-04-01 05:35:26,2018-07-01 18:43:14,4,1.27,92,3.42,A - Premium,Yes
156,245,19275.51,78.68,154.93,2018-04-01 11:39:26,2018-07-01 07:42:40,0,0.0,91,2.69,A - Premium,No
157,87,995.21,11.44,25.79,2018-04-01 04:47:24,2018-06-30 19:56:10,0,0.0,91,0.96,D - Low Value,No
158,342,28395.17,83.03,189.45,2018-04-01 19:45:00,2018-07-01 17:49:13,5,1.462,91,3.76,A - Premium,Yes
159,239,15139.77,63.35,177.33,2018-04-01 01:59:15,2018-07-01 20:15:17,0,0.0,92,2.6,A - Premium,No
160,153,15308.61,100.06,240.42,2018-04-01 07:00:55,2018-07-01 08:16:37,3,1.961,92,1.66,A - Premium,Yes
161,270,19238.03,71.25,151.2,2018-04-01 03:59:19,2018-07-01 21:49:43,2,0.741,92,2.93,A - Premium,Yes
162,245,12960.09,52.9,113.92,2018-04-01 04:22:37,2018-07-01 14:08:02,0,0.0,92,2.66,B - High Value,No
163,20,1977.43,98.87,165.74,2018-04-05 14:06:24,2018-07-01 12:24:36,0,0.0,87,0.23,D - Low Value,No
164,348,17554.93,50.45,103.48,2018-04-01 07:36:05,2018-07-01 13:37:32,0,0.0,92,3.78,A - Premium,No
165,95,1423.07,14.98,38.43,2018-04-01 08:05:23,2018-06-29 18:18:13,1,1.053,90,1.06,D - Low Value,Yes
166,135,9557.95,70.8,139.24,2018-04-01 14:31:25,2018-07-01 09:58:52,0,0.0,91,1.48,B - High Value,No
167,180,7854.16,43.63,107.69,2018-04-01 04:49:17,2018-07-01 15:20:04,0,0.0,92,1.96,B - High Value,No
168,210,19258.97,91.71,208.22,2018-04-01 12:29:18,2018-07-01 16:36:10,0,0.0,92,2.28,A - Premium,No
169,137,2151.2,15.7,30.64,2018-04-01 06:33:41,2018-06-30 15:51:50,1,0.73,91,1.51,D - Low Value,Yes
170,226,1857.61,8.22,23.6,2018-04-01 12:11:22,2018-07-01 12:59:47,1,0.442,92,2.46,D - Low Value,Yes
171,235,17668.39,75.18,174.94,2018-04-01 06:45:08,2018-07-01 08:52:02,3,1.277,92,2.55,A - Premium,Yes
172,11,887.99,80.73,125.33,2018-04-22 02:16:59,2018-06-15 10:42:35,0,0.0,55,0.2,D - Low Value,No
173,127,6958.48,54.79,133.09,2018-04-02 19:41:42,2018-06-29 17:04:53,0,0.0,88,1.44,C - Mid Value,No
174,292,15722.53,53.84,118.76,2018-04-01 07:43:26,2018-07-01 22:34:06,2,0.685,92,3.17,A - Premium,Yes
175,28,400.05,14.29,29.18,2018-04-01 23:35:20,2018-06-22 12:53:11,0,0.0,82,0.34,D - Low Value,No
176,27,844.49,31.28,61.3,2018-04-04 10:29:18,2018-07-01 09:17:07,0,0.0,88,0.31,D - Low Value,No
177,205,4310.49,21.03,44.66,2018-04-01 02:33:41,2018-07-01 13:46:23,0,0.0,92,2.23,C - Mid Value,No
178,68,1347.12,19.81,43.47,2018-04-01 16:43:51,2018-07-01 00:52:17,0,0.0,91,0.75,D - Low Value,No
179,269,10384.28,38.6,92.16,2018-04-01 14:23:01,2018-07-01 11:09:05,5,1.859,91,2.96,B - High Value,Yes
180,302,2448.9,8.11,22.06,2018-04-01 08:45:33,2018-07-01 19:02:28,5,1.656,92,3.28,D - Low Value,Yes
181,320,23034.52,71.98,158.97,2018-04-01 05:38:56,2018-07-01 21:42:48,1,0.312,92,3.48,A - Premium,Yes
182,140,7896.78,56.41,122.97,2018-04-01 13:28:03,2018-07-01 08:05:25,3,2.143,91,1.54,B - High Value,Yes
183,246,16740.17,68.05,473.2,2018-04-01 00:32:35,2018-07-01 23:56:02,17,6.911,92,2.67,A - Premium,Yes
184,67,1120.98,16.73,33.86,2018-04-03 08:45:36,2018-07-01 19:25:56,0,0.0,90,0.74,D - Low Value,No
185,74,404.88,5.47,11.2,2018-04-02 04:47:38,2018-06-30 08:37:27,0,0.0,90,0.82,D - Low Value,No
186,279,23936.91,85.8,210.2,2018-04-01 04:21:55,2018-07-01 12:04:56,0,0.0,92,3.03,A - Premium,No
187,170,5998.02,35.28,96.25,2018-04-01 10:21:09,2018-07-01 08:16:39,1,0.588,91,1.87,C - Mid Value,Yes
188,316,10095.09,31.95,76.66,2018-04-01 05:39:28,2018-07-01 19:10:39,3,0.949,92,3.43,B - High Value,Yes
189,115,3359.76,29.22,64.46,2018-04-01 11:58:13,2018-07-01 07:19:48,0,0.0,91,1.26,C - Mid Value,No
190,120,5853.45,48.78,103.3,2018-04-01 13:46:22,2018-06-29 21:17:41,0,0.0,90,1.33,C - Mid Value,No
191,133,13178.06,99.08,227.81,2018-04-01 09:58:47,2018-07-01 09:00:06,2,1.504,91,1.46,B - High Value,Yes
192,97,6985.54,72.02,159.39,2018-04-01 15:57:21,2018-06-30 12:26:04,0,0.0,90,1.08,C - Mid Value,No
193,106,10135.76,95.62,216.82,2018-04-01 07:32:29,2018-07-01 13:26:57,0,0.0,92,1.15,B - High Value,No
194,303,24056.97,79.4,192.55,2018-04-01 06:17:42,2018-07-01 13:11:55,1,0.33,92,3.29,A - Premium,Yes
195,287,25464.62,88.73,226.52,2018-04-01 08:44:05,2018-07-01 18:36:41,7,2.439,92,3.12,A - Premium,Yes
196,43,1348.92,31.37,61.16,2018-04-07 07:55:44,2018-07-01 08:51:25,0,0.0,86,0.5,D - Low Value,No
197,103,5949.24,57.76,113.69,2018-04-01 12:46:41,2018-07-01 18:38:32,0,0.0,92,1.12,C - Mid Value,No
198,312,31290.8,100.29,240.36,2018-04-01 08:41:57,2018-07-01 22:05:27,2,0.641,92,3.39,A - Premium,Yes
199,149,4500.71,30.21,57.49,2018-04-01 08:55:19,2018-07-01 22:40:49,0,0.0,92,1.62,C - Mid Value,No
200,138,6224.05,45.1,92.35,2018-04-01 03:56:21,2018-07-01 11:57:45,2,1.449,92,1.5,C - Mid Value,Yes
201,107,10275.48,96.03,245.69,2018-04-02 07:22:29,2018-07-01 16:03:15,1,0.935,91,1.18,B - High Value,Yes
202,222,9050.55,40.77,98.86,2018-04-01 06:52:14,2018-07-01 20:22:28,1,0.45,92,2.41,B - High Value,Yes
203,80,1288.29,16.1,35.94,2018-04-01 23:50:16,2018-07-01 11:07:10,0,0.0,91,0.88,D - Low Value,No
204,182,14432.77,79.3,169.15,2018-04-01 02:37:22,2018-06-30 20:14:37,1,0.549,91,2.0,A - Premium,Yes
205,27,1237.99,45.85,77.8,2018-04-01 11:20:09,2018-06-29 16:11:16,0,0.0,90,0.3,D - Low Value,No
206,309,7972.03,25.8,54.27,2018-04-01 05:48:31,2018-07-01 19:13:27,1,0.324,92,3.36,B - High Value,Yes
207,47,3003.24,63.9,106.5,2018-04-05 09:31:40,2018-07-01 06:13:56,1,2.128,87,0.54,C - Mid Value,Yes
208,177,14535.95,82.12,176.34,2018-04-02 05:34:32,2018-07-01 21:38:28,1,0.565,91,1.95,A - Premium,Yes
209,263,8932.17,33.96,81.76,2018-04-01 06:17:45,2018-07-01 20:00:20,1,0.38,92,2.86,B - High Value,Yes
210,271,4430.1,16.35,44.1,2018-04-01 12:07:46,2018-07-01 13:07:56,2,0.738,92,2.95,C - Mid Value,Yes
211,140,11287.55,80.63,188.24,2018-04-01 09:13:37,2018-07-01 13:45:07,4,2.857,92,1.52,B - High Value,Yes
212,269,25466.75,94.67,220.02,2018-04-01 04:51:07,2018-07-01 09:00:01,5,1.859,92,2.92,A - Premium,Yes
213,274,24580.35,89.71,270.66,2018-04-01 05:27:57,2018-07-01 09:04:38,2,0.73,92,2.98,A - Premium,Yes
