txn_date,txns,fraud_txns,fraud_rate_pct,fraud_value,total_value,fraud_rate_7d_ma
2018-06-09,9511,83,0.873,10171.07,509479.04,0.887
2018-06-10,9604,64,0.666,7582.31,517990.87,0.875
2018-06-11,9628,68,0.706,8388.98,514333.97,0.831
2018-06-12,9625,93,0.966,11326.12,518271.65,0.845
2018-06-13,9488,76,0.801,10756.62,513733.17,0.823
2018-06-14,9679,86,0.889,9264.03,518098.31,0.832
2018-06-15,9448,84,0.889,10832.79,509153.44,0.827
2018-06-16,9700,89,0.918,11206.7,522025.25,0.834
2018-06-17,9610,59,0.614,6272.78,514124.53,0.826
2018-06-18,9737,83,0.852,10519.83,529465.77,0.847
2018-06-19,9536,72,0.755,8284.8,510206.38,0.817
2018-06-20,9523,95,0.998,11700.84,513396.85,0.845
2018-06-21,9485,80,0.843,9559.08,505818.98,0.838
2018-06-22,9546,96,1.006,10649.32,505621.19,0.855
2018-06-23,9654,92,0.953,10126.67,518800.51,0.86
2018-06-24,9552,95,0.995,12351.14,502956.53,0.915
2018-06-25,9591,86,0.897,8957.86,515229.26,0.921
2018-06-26,9512,89,0.936,9967.73,513806.34,0.947
2018-06-27,9565,90,0.941,10950.94,509217.81,0.939
2018-06-28,9693,105,1.083,12280.43,513667.66,0.973
2018-06-29,9545,79,0.828,9605.7,507457.46,0.948
2018-06-30,9789,84,0.858,13454.57,527159.26,0.934
2018-07-01,9692,88,0.908,12531.72,517117.06,0.922
